stimulus,trial_type
0.wav,first
1.wav,second
2.wav,second
3.wav,second
4.wav,second
5.wav,second
6.wav,second
7.wav,second
8.wav,third
9.wav,third
10.wav,third
11.wav,third
12.wav,third
13.wav,third
14.wav,third
15.wav,third
16.wav,third
17.wav,third
18.wav,third
19.wav,third
20.wav,third
21.wav,third
22.wav,third
23.wav,third
24.wav,third
25.wav,third
26.wav,third
27.wav,third
28.wav,third
29.wav,third
30.wav,third
31.wav,third
32.wav,third
33.wav,third
34.wav,third
35.wav,third
